#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_145_(dbseq-nr_144)_[18635,24877]	LTR	Gypsy	pyret	no	+	AP|pyret RT|v_clade RNaseH|pyret INT|v_clade
scaffold_145_(dbseq-nr_144)_[2224,9093]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_145_(dbseq-nr_144)_[56231,63269]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|gypsy INT|gmr1
scaffold_145_(dbseq-nr_144)_[74954,80223]	LTR	Copia	sire	no	-	INT|tork RT|sire RNaseH|sire
scaffold_146_(dbseq-nr_145)_[153087,158749]	LTR	Copia	mixture	no	-	INT|retrofit RT|sire RNaseH|copia
scaffold_1498_(dbseq-nr_1497)_[11637,18530]	LTR	Gypsy	mixture	no	+	RNaseH|pyret INT|maggy
scaffold_1522_(dbseq-nr_1521)_[6160,13376]	LTR	Gypsy	v_clade	no	-	AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_1526_(dbseq-nr_1525)_[4380,19993]	LTR	Gypsy	v_clade	no	+	GAG|v_clade
scaffold_1537_(dbseq-nr_1536)_[7120,11456]	Unknown	unknown	cog5550	unknown	-	AP|cog5550
scaffold_1546_(dbseq-nr_1545)_[11867,17177]	LTR	Copia	copia	no	+	INT|copia RT|hydra RNaseH|copia
scaffold_1547_(dbseq-nr_1546)_[4703,9811]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|pyret INT|v_clade
scaffold_156_(dbseq-nr_155)_[51175,57719]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_162_(dbseq-nr_161)_[139776,146918]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1648_(dbseq-nr_1647)_[8220,15102]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_1659_(dbseq-nr_1658)_[8448,15476]	LTR	Gypsy	mixture	no	+	RT|v_clade RNaseH|pyret INT|maggy
scaffold_1663_(dbseq-nr_1662)_[5624,17409]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_16_(dbseq-nr_15)_[322277,327925]	LTR	Copia	mixture	no	-	INT|retrofit RT|sire RNaseH|copia
scaffold_1717_(dbseq-nr_1716)_[10914,18910]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_1726_(dbseq-nr_1725)_[10750,13800]	LTR	Gypsy	v_clade	no	-	GAG|v_clade
scaffold_1732_(dbseq-nr_1731)_[7302,14560]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_173_(dbseq-nr_172)_[108290,113190]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|pyret INT|v_clade
scaffold_173_(dbseq-nr_172)_[63894,69664]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|copia RT|tork RNaseH|sire
scaffold_1753_(dbseq-nr_1752)_[7228,14479]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_178_(dbseq-nr_177)_[33759,40642]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_178_(dbseq-nr_177)_[93195,99765]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_1813_(dbseq-nr_1812)_[8506,14467]	LTR	Copia	tork	no	-	INT|tork RT|tork RNaseH|sire
scaffold_1816_(dbseq-nr_1815)_[4408,11017]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_1819_(dbseq-nr_1818)_[6629,12172]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_181_(dbseq-nr_180)_[101467,108700]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_181_(dbseq-nr_180)_[122021,127719]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_181_(dbseq-nr_180)_[20508,33763]	LTR	Gypsy	v_clade	no	-	INT|v_clade
scaffold_181_(dbseq-nr_180)_[67150,74631]	LTR	Gypsy	v_clade	no	+	AP|17_6 RT|v_clade RNaseH|pyret INT|v_clade
scaffold_182_(dbseq-nr_181)_[52585,60536]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|gmr1
scaffold_183_(dbseq-nr_182)_[105536,112135]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_183_(dbseq-nr_182)_[72029,75951]	LTR	Copia	sire	no	-	RNaseH|sire
scaffold_187_(dbseq-nr_186)_[51962,53771]	LTR	Copia	mixture	no	-	RT|tork RNaseH|sire
scaffold_1895_(dbseq-nr_1894)_[4912,11973]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|gypsy INT|tat
scaffold_18_(dbseq-nr_17)_[112467,119474]	LTR	Gypsy	mixture	no	+	RT|v_clade RNaseH|pyret INT|maggy
scaffold_18_(dbseq-nr_17)_[178198,188677]	LTR	Copia	mixture	no	-	RT|sire RNaseH|copia
scaffold_18_(dbseq-nr_17)_[230745,236849]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|sire RNaseH|copia
scaffold_18_(dbseq-nr_17)_[242004,247688]	LTR	Copia	pseudovirus	no	+	AP|pseudovirus INT|tork RT|pseudovirus RNaseH|copia
scaffold_18_(dbseq-nr_17)_[271528,278785]	LTR	Gypsy	mixture	no	-	RT|del RNaseH|cer2-3 INT|412_mdg1
scaffold_18_(dbseq-nr_17)_[286578,294954]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_18_(dbseq-nr_17)_[318857,326132]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_18_(dbseq-nr_17)_[366176,373188]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|gypsy INT|gmr1
scaffold_18_(dbseq-nr_17)_[89845,96336]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_1905_(dbseq-nr_1904)_[6103,14332]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_190_(dbseq-nr_189)_[106861,120786]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|pyret RT|v_clade INT|v_clade CHR|retroelement RNaseH|pyret
scaffold_190_(dbseq-nr_189)_[121897,127971]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_190_(dbseq-nr_189)_[128937,135894]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_191_(dbseq-nr_190)_[109600,116819]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_191_(dbseq-nr_190)_[119079,126181]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1931_(dbseq-nr_1930)_[437,6094]	LTR	Copia	copia	no	-	RT|copia RNaseH|copia
scaffold_1945_(dbseq-nr_1944)_[10316,17502]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_1955_(dbseq-nr_1954)_[10285,17456]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_195_(dbseq-nr_194)_[59580,68328]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|gmr1
scaffold_2014_(dbseq-nr_2013)_[2407,9247]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_201_(dbseq-nr_200)_[15042,21644]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_203_(dbseq-nr_202)_[30183,32458]	Unknown	unknown	ddi	unknown	+	AP|ddi
scaffold_2041_(dbseq-nr_2040)_[10931,16826]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|gmr1
scaffold_207_(dbseq-nr_206)_[105250,119720]	LTR	Copia	sire	no	+	RNaseH|sire
scaffold_2085_(dbseq-nr_2084)_[6378,14332]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3
scaffold_2099_(dbseq-nr_2098)_[10889,16787]	LTR	Gypsy	cer2-3	no	+	RT|cer2-3 RNaseH|cer2-3 INT|gmr1
scaffold_2117_(dbseq-nr_2116)_[3263,9039]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|copia RT|tork RNaseH|sire
scaffold_2134_(dbseq-nr_2133)_[8281,10467]	Unknown	unknown	all	unknown	+	CHR|all
scaffold_2172_(dbseq-nr_2171)_[449,6110]	LTR	Copia	pseudovirus	no	-	AP|pseudovirus INT|tork RT|pseudovirus RNaseH|copia
scaffold_2183_(dbseq-nr_2182)_[3778,10823]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|gypsy INT|gmr1
scaffold_2189_(dbseq-nr_2188)_[1676,16573]	LTR	Copia	tork	no	-	RNaseH|tork
scaffold_21_(dbseq-nr_20)_[209621,215802]	LTR	Copia	oryco	no	+	RNaseH|oryco
scaffold_21_(dbseq-nr_20)_[256818,263474]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_21_(dbseq-nr_20)_[318404,324923]	LTR	Gypsy	v_clade	no	-	AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_21_(dbseq-nr_20)_[349381,357021]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_21_(dbseq-nr_20)_[8265,14026]	LTR	Copia	sire	no	-	AP|copia INT|tork RT|sire RNaseH|sire
scaffold_2200_(dbseq-nr_2199)_[8386,15263]	LTR	Gypsy	mixture	no	+	RT|v_clade RNaseH|pyret INT|maggy
scaffold_2201_(dbseq-nr_2200)_[8397,16113]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_2233_(dbseq-nr_2232)_[8670,15692]	LTR	Gypsy	mixture	no	-	RT|v_clade RNaseH|pyret INT|maggy
scaffold_2235_(dbseq-nr_2234)_[948,8555]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_223_(dbseq-nr_222)_[21070,27887]	LTR	Copia	copia	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|copia
scaffold_227_(dbseq-nr_226)_[28866,36061]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_2290_(dbseq-nr_2289)_[6604,12448]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_234_(dbseq-nr_233)_[101697,107380]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_234_(dbseq-nr_233)_[14860,21398]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_234_(dbseq-nr_233)_[32310,38142]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_234_(dbseq-nr_233)_[39575,44954]	LTR	Copia	mixture	no	+	RT|pseudovirus RNaseH|copia
scaffold_234_(dbseq-nr_233)_[56231,64580]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_234_(dbseq-nr_233)_[67997,75288]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_234_(dbseq-nr_233)_[82555,89376]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_234_(dbseq-nr_233)_[89997,95764]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_235_(dbseq-nr_234)_[25067,30950]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|sire
scaffold_235_(dbseq-nr_234)_[65458,72769]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_235_(dbseq-nr_234)_[86425,93925]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_2369_(dbseq-nr_2368)_[4177,11431]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_237_(dbseq-nr_236)_[88982,96593]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_242_(dbseq-nr_241)_[46138,54099]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_242_(dbseq-nr_241)_[54106,61534]	LTR	Gypsy	v_clade	no	+	AP|17_6 RT|v_clade RNaseH|pyret INT|v_clade
scaffold_2456_(dbseq-nr_2455)_[7538,14789]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_2460_(dbseq-nr_2459)_[1054,8610]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_2472_(dbseq-nr_2471)_[6573,12535]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|tork
scaffold_253_(dbseq-nr_252)_[90139,96195]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|tork
scaffold_254_(dbseq-nr_253)_[12550,18171]	LTR	Copia	mixture	no	+	INT|retrofit RT|sire RNaseH|copia
scaffold_2568_(dbseq-nr_2567)_[1641,6957]	LTR	Copia	copia	no	-	AP|ty1/copia INT|copia RT|hydra RNaseH|copia
scaffold_256_(dbseq-nr_255)_[42144,47787]	LTR	Copia	mixture	no	-	INT|retrofit RT|sire RNaseH|copia
scaffold_2578_(dbseq-nr_2577)_[1649,6963]	LTR	Copia	copia	no	-	AP|ty1/copia INT|copia RT|tork RNaseH|copia
scaffold_257_(dbseq-nr_256)_[17975,25387]	LTR	Gypsy	mixture	no	+	AP|17_6 RT|v_clade RNaseH|pyret INT|crm
scaffold_257_(dbseq-nr_256)_[34327,41089]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_257_(dbseq-nr_256)_[52075,61193]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_257_(dbseq-nr_256)_[86438,93966]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_257_(dbseq-nr_256)_[96376,102145]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_2583_(dbseq-nr_2582)_[1749,6111]	LTR	Copia	oryco	no	+	AP|oryco
scaffold_2598_(dbseq-nr_2597)_[1632,6850]	LTR	Copia	copia	no	-	AP|ty1/copia INT|copia RT|tork RNaseH|copia
