#TE	Order	Superfamily	Clade	Complete	Strand	Domains
chromosome_11_(dbseq-nr_10)_[19527,25314]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_11_(dbseq-nr_10)_[213351,220054]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|pyret INT|v_clade
chromosome_11_(dbseq-nr_10)_[2577785,2579547]	LTR	Copia	1731	no	+	RNaseH|1731
chromosome_11_(dbseq-nr_10)_[2610390,2623520]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_11_(dbseq-nr_10)_[360187,366906]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|pyret INT|v_clade
chromosome_11_(dbseq-nr_10)_[3643776,3649804]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
chromosome_11_(dbseq-nr_10)_[414383,424435]	LTR	Gypsy	v_clade	no	-	GAG|v_clade
chromosome_11_(dbseq-nr_10)_[4307706,4314457]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_11_(dbseq-nr_10)_[4406431,4414502]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_11_(dbseq-nr_10)_[4429768,4432627]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade INT|v_clade
chromosome_11_(dbseq-nr_10)_[4446324,4454070]	LTR	Gypsy	v_clade	no	-	AP|bel RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_11_(dbseq-nr_10)_[4649849,4655629]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_11_(dbseq-nr_10)_[471693,480075]	LTR	Copia	sire	no	-	RNaseH|sire
chromosome_11_(dbseq-nr_10)_[826063,832150]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|codi_d
chromosome_12_(dbseq-nr_11)_[1585769,1598979]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|pyret INT|v_clade
chromosome_12_(dbseq-nr_11)_[1663693,1669655]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
chromosome_12_(dbseq-nr_11)_[1996323,2002680]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|tork
chromosome_12_(dbseq-nr_11)_[220382,226841]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
chromosome_12_(dbseq-nr_11)_[2350188,2355970]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_12_(dbseq-nr_11)_[2449494,2455142]	LTR	Copia	sire	no	+	AP|ty1/copia INT|copia RT|sire RNaseH|sire
chromosome_12_(dbseq-nr_11)_[294060,300948]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_12_(dbseq-nr_11)_[3185987,3190997]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
chromosome_12_(dbseq-nr_11)_[710618,717194]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|pyret INT|v_clade
chromosome_1_(dbseq-nr_0)_[1592551,1598482]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
chromosome_1_(dbseq-nr_0)_[1865398,1870643]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_1_(dbseq-nr_0)_[1906849,1912778]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
chromosome_1_(dbseq-nr_0)_[1915857,1921786]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
chromosome_1_(dbseq-nr_0)_[1939397,1946273]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|osvaldo INT|tat
chromosome_1_(dbseq-nr_0)_[1965774,1972877]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
chromosome_1_(dbseq-nr_0)_[2339271,2346456]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
chromosome_1_(dbseq-nr_0)_[2424319,2435941]	LTR	mixture	mixture	unknown	+	AP|retrofit RT|reina RNaseH|pyret INT|v_clade
chromosome_1_(dbseq-nr_0)_[3095971,3102521]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|gmr1
chromosome_1_(dbseq-nr_0)_[3122412,3131352]	mixture	mixture	mixture	unknown	-	AP|cog5550 RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_1_(dbseq-nr_0)_[3133382,3140489]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|gypsy INT|tat
chromosome_1_(dbseq-nr_0)_[3141291,3148733]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_1_(dbseq-nr_0)_[3158335,3165865]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_1_(dbseq-nr_0)_[3200674,3205970]	LTR	Gypsy	mixture	no	-	RT|v_clade RNaseH|pyret
chromosome_1_(dbseq-nr_0)_[3257812,3266290]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_1_(dbseq-nr_0)_[3290270,3296979]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|gmr1
chromosome_1_(dbseq-nr_0)_[3516869,3522580]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
chromosome_1_(dbseq-nr_0)_[3536351,3540752]	LTR	Gypsy	mixture	no	-	RT|v_clade RNaseH|pyret INT|crm
chromosome_1_(dbseq-nr_0)_[3543604,3550936]	mixture	mixture	mixture	unknown	-	AP|cog5550 RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_1_(dbseq-nr_0)_[3584869,3592597]	LTR	Copia	mixture	no	+	RT|pseudovirus RNaseH|codi_d
chromosome_1_(dbseq-nr_0)_[3595748,3607963]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_1_(dbseq-nr_0)_[3611781,3618298]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|codi_d
chromosome_1_(dbseq-nr_0)_[3620374,3632131]	LTR	Gypsy	pyggy	no	+	RNaseH|pyggy
chromosome_1_(dbseq-nr_0)_[3838870,3853487]	LTR	Gypsy	v_clade	no	?	INT|v_clade GAG|v_clade RNaseH|v_clade RT|v_clade AP|ty1/copia
chromosome_1_(dbseq-nr_0)_[3940919,3948081]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_1_(dbseq-nr_0)_[4166494,4173277]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_1_(dbseq-nr_0)_[4180607,4187822]	mixture	mixture	mixture	unknown	+	AP|cog5550 RT|reina RNaseH|17_6 INT|gmr1
chromosome_1_(dbseq-nr_0)_[427244,436414]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_1_(dbseq-nr_0)_[4381370,4388065]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_1_(dbseq-nr_0)_[4391178,4398426]	Unknown	unknown	cog5550	unknown	+	AP|cog5550
chromosome_1_(dbseq-nr_0)_[4426669,4433301]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|tat
chromosome_1_(dbseq-nr_0)_[445451,452232]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_1_(dbseq-nr_0)_[68640,74642]	LTR	Copia	tork	yes	+	GAG|tork AP|ty1/copia INT|oryco RT|tork RNaseH|codi_d
chromosome_2_(dbseq-nr_1)_[105736,118865]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_2_(dbseq-nr_1)_[1227219,1233489]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|1731 RNaseH|tork
chromosome_2_(dbseq-nr_1)_[1237146,1244016]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_2_(dbseq-nr_1)_[1250122,1254918]	LTR	Copia	copia	no	+	INT|copia RT|copia RNaseH|copia
chromosome_2_(dbseq-nr_1)_[1271562,1278661]	LTR	Gypsy	pyret	no	-	RT|pyret
chromosome_2_(dbseq-nr_1)_[1330152,1339574]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_2_(dbseq-nr_1)_[2311378,2318862]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
chromosome_2_(dbseq-nr_1)_[2329300,2338124]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_2_(dbseq-nr_1)_[2353366,2360101]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|copia RNaseH|tork
chromosome_2_(dbseq-nr_1)_[2362471,2368742]	LTR	Copia	sire	no	-	AP|ty1/copia INT|retrofit RT|sire RNaseH|sire
chromosome_2_(dbseq-nr_1)_[2373142,2381869]	LTR	Gypsy	mixture	no	+	AP|tat RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_2_(dbseq-nr_1)_[2388925,2394237]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|pyret INT|v_clade
chromosome_2_(dbseq-nr_1)_[2396546,2409496]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|pyret INT|v_clade CHR|all
chromosome_2_(dbseq-nr_1)_[3402522,3409678]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_2_(dbseq-nr_1)_[46081,52796]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|gmr1
chromosome_2_(dbseq-nr_1)_[5231870,5243645]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_2_(dbseq-nr_1)_[5243701,5249551]	Unknown	unknown	cog5550	unknown	-	AP|cog5550
chromosome_2_(dbseq-nr_1)_[5479194,5485128]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
chromosome_2_(dbseq-nr_1)_[5500474,5505726]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_2_(dbseq-nr_1)_[62937,71963]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_2_(dbseq-nr_1)_[6506615,6511738]	LTR	Copia	retrofit	no	+	AP|retrofit INT|retrofit RT|tork RNaseH|copia
chromosome_2_(dbseq-nr_1)_[7639834,7646366]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|1731 RNaseH|sire
chromosome_2_(dbseq-nr_1)_[77887,86258]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_2_(dbseq-nr_1)_[86262,91895]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_3_(dbseq-nr_2)_[1243100,1249400]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_3_(dbseq-nr_2)_[1254150,1266875]	mixture	mixture	mixture	unknown	-	RT|reina RNaseH|pyret INT|v_clade AP|cog5550
chromosome_3_(dbseq-nr_2)_[1267119,1276103]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_3_(dbseq-nr_2)_[188971,197662]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
chromosome_3_(dbseq-nr_2)_[209306,216369]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_3_(dbseq-nr_2)_[256469,263099]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|1731 RNaseH|sire
chromosome_3_(dbseq-nr_2)_[266163,272799]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|oryco RT|tork RNaseH|copia
chromosome_3_(dbseq-nr_2)_[2881453,2886578]	LTR	Copia	retrofit	no	-	AP|retrofit INT|retrofit RT|tork RNaseH|copia
chromosome_3_(dbseq-nr_2)_[3357637,3362866]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_3_(dbseq-nr_2)_[3369266,3374856]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
chromosome_3_(dbseq-nr_2)_[3375016,3379926]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
chromosome_3_(dbseq-nr_2)_[3935243,3948168]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|gypsy INT|tat
chromosome_3_(dbseq-nr_2)_[3961794,3966916]	LTR	Copia	retrofit	no	+	AP|retrofit INT|retrofit RT|tork RNaseH|copia
chromosome_3_(dbseq-nr_2)_[411799,418438]	LTR	Copia	mixture	yes	-	GAG|tork AP|ty1/copia INT|oryco RT|pCretro RNaseH|codi_d
chromosome_3_(dbseq-nr_2)_[469054,475623]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|1731 RNaseH|sire
chromosome_3_(dbseq-nr_2)_[4775431,4780551]	LTR	Copia	retrofit	no	-	AP|retrofit INT|retrofit RT|tork RNaseH|copia
chromosome_3_(dbseq-nr_2)_[5069145,5076283]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
chromosome_3_(dbseq-nr_2)_[539142,545452]	LTR	Gypsy	v_clade	no	+	AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_3_(dbseq-nr_2)_[639231,645727]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
chromosome_3_(dbseq-nr_2)_[6906688,6913902]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_3_(dbseq-nr_2)_[7465414,7471212]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_3_(dbseq-nr_2)_[7690678,7695287]	LTR	Copia	retrofit	no	-	AP|retrofit INT|retrofit RNaseH|sire
chromosome_3_(dbseq-nr_2)_[7727773,7730138]	LTR	Gypsy	v_clade	no	-	INT|v_clade
chromosome_3_(dbseq-nr_2)_[7730667,7739084]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_3_(dbseq-nr_2)_[7859977,7866854]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|osvaldo INT|tat
chromosome_3_(dbseq-nr_2)_[7940563,7943294]	LTR	Copia	codi_d	no	+	RNaseH|codi_d
chromosome_3_(dbseq-nr_2)_[8286240,8293045]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_4_(dbseq-nr_3)_[1052482,1057032]	LTR	Copia	sire	no	+	RNaseH|sire
chromosome_4_(dbseq-nr_3)_[10927900,10934660]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[10935718,10942790]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[10958265,10965024]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[1113501,1120623]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[1416408,1429295]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[1729957,1737124]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_4_(dbseq-nr_3)_[1914309,1920638]	LTR	Gypsy	v_clade	no	+	AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_4_(dbseq-nr_3)_[2034578,2040240]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_4_(dbseq-nr_3)_[2045908,2051501]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
chromosome_4_(dbseq-nr_3)_[2105482,2115643]	LTR	Gypsy	v_clade	no	-	AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_4_(dbseq-nr_3)_[2118917,2125559]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[2161953,2171538]	LTR	Copia	copia	no	?	RNaseH|copia RT|copia AP|ty1/copia
chromosome_4_(dbseq-nr_3)_[2203903,2210803]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[2243983,2250398]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|codi_d
chromosome_4_(dbseq-nr_3)_[3239718,3245303]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
chromosome_4_(dbseq-nr_3)_[3498801,3504409]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
chromosome_4_(dbseq-nr_3)_[377749,383031]	LTR	Copia	copia	no	-	INT|tork RT|copia RNaseH|copia
chromosome_4_(dbseq-nr_3)_[3987839,3994914]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
chromosome_4_(dbseq-nr_3)_[400151,405151]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|sire
chromosome_4_(dbseq-nr_3)_[4021780,4027109]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|pyret INT|v_clade
chromosome_4_(dbseq-nr_3)_[426840,433678]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[4524988,4530140]	LTR	Copia	retrofit	no	+	AP|retrofit INT|retrofit RT|copia RNaseH|copia
chromosome_4_(dbseq-nr_3)_[5221071,5227585]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
chromosome_4_(dbseq-nr_3)_[640132,645810]	LTR	Copia	mixture	no	-	AP|pseudovirus INT|tork RT|sire RNaseH|copia
chromosome_4_(dbseq-nr_3)_[7151727,7158841]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
chromosome_4_(dbseq-nr_3)_[728876,737184]	LTR	Copia	mixture	no	?	RT|1731 RNaseH|copia AP|ty1/copia
chromosome_4_(dbseq-nr_3)_[7879327,7885301]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
chromosome_4_(dbseq-nr_3)_[8686180,8693028]	LTR	Gypsy	mixture	no	+	RT|v_clade RNaseH|pyret INT|crm
chromosome_4_(dbseq-nr_3)_[877992,884772]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[958625,965522]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|gypsy INT|tat
chromosome_4_(dbseq-nr_3)_[966005,970958]	LTR	Copia	sire	no	-	INT|tork RT|sire RNaseH|sire
chromosome_4_(dbseq-nr_3)_[9856028,9865166]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
chromosome_4_(dbseq-nr_3)_[985970,995311]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|1731 RNaseH|copia
chromosome_4_(dbseq-nr_3)_[9865267,9872578]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_4_(dbseq-nr_3)_[9875112,9882062]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_4_(dbseq-nr_3)_[9884945,9889968]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
chromosome_5_(dbseq-nr_4)_[1144832,1150794]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
chromosome_5_(dbseq-nr_4)_[123469,129562]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|oryco RT|tork RNaseH|codi_d
chromosome_5_(dbseq-nr_4)_[3853613,3858836]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_5_(dbseq-nr_4)_[5192730,5197115]	LTR	Copia	mixture	no	+	RT|copia RNaseH|sire
chromosome_5_(dbseq-nr_4)_[5843750,5848658]	LTR	Copia	sire	no	-	INT|tork RT|sire RNaseH|sire
chromosome_5_(dbseq-nr_4)_[611590,616525]	LTR	Copia	sire	no	-	INT|tork RT|sire RNaseH|sire
chromosome_5_(dbseq-nr_4)_[6175305,6181236]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
chromosome_5_(dbseq-nr_4)_[6298489,6304555]	LTR	Caulimoviridae	caulimovirus	no	-	AP|caulimovirus
chromosome_5_(dbseq-nr_4)_[6353271,6358301]	LTR	Gypsy	v_clade	no	+	GAG|TF RT|v_clade RNaseH|pyret INT|v_clade
chromosome_5_(dbseq-nr_4)_[6378569,6385348]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_5_(dbseq-nr_4)_[6394116,6400940]	LTR	Copia	pCretro	no	+	RT|pCretro
chromosome_5_(dbseq-nr_4)_[6448827,6458581]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|crm
chromosome_5_(dbseq-nr_4)_[6459081,6464904]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|pyret INT|v_clade CHR|all
chromosome_5_(dbseq-nr_4)_[6465246,6472616]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|hydra RNaseH|tork
chromosome_5_(dbseq-nr_4)_[6884146,6889947]	LTR	Copia	copia	no	+	AP|ty1/copia INT|copia RT|tork RNaseH|copia
chromosome_5_(dbseq-nr_4)_[7063744,7071154]	LTR	Gypsy	v_clade	no	-	AP|bel RT|v_clade RNaseH|v_clade INT|v_clade
chromosome_5_(dbseq-nr_4)_[7132830,7137956]	LTR	Copia	retrofit	no	-	AP|retrofit INT|retrofit RT|tork RNaseH|copia
chromosome_5_(dbseq-nr_4)_[726172,731151]	LTR	Copia	sire	no	-	INT|tork RT|sire RNaseH|sire
chromosome_6_(dbseq-nr_5)_[103508,109935]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|copia
chromosome_6_(dbseq-nr_5)_[1049872,1056931]	mixture	mixture	mixture	unknown	+	AP|cog5550 RT|reina RNaseH|17_6 INT|gmr1
chromosome_6_(dbseq-nr_5)_[1061521,1068277]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|pyret INT|v_clade
chromosome_6_(dbseq-nr_5)_[3805191,3809942]	LTR	Copia	oryco	no	+	INT|oryco
chromosome_6_(dbseq-nr_5)_[3815063,3825612]	LTR	mixture	mixture	unknown	?	RT|del RNaseH|v_clade AP|ty1/copia INT|copia
chromosome_6_(dbseq-nr_5)_[3832965,3839438]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|tork
chromosome_6_(dbseq-nr_5)_[3844456,3850734]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
